com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
a970cf20-9763-4909-ad0a-8881d02dd95d.custom.json,,-0.17,2025-03-09 12:28:23.800,2024-09-03 01:52:10.657,36.18,100,J+ZRiIffUm,com.sec.android.app.shealth,a970cf20-9763-4909-ad0a-8881d02dd95d,2024-09-03 00:00:00.000,,
b3e4305c-f76e-4dd9-acd9-b9ed5bba77a6.custom.json,[2],0.0,2024-09-04 00:44:59.287,2024-09-04 00:44:59.287,-1.0,,J+ZRiIffUm,com.sec.android.app.shealth,b3e4305c-f76e-4dd9-acd9-b9ed5bba77a6,2024-09-04 00:00:00.000,,
8744f0c8-2f83-49bd-9aaf-766ab794e245.custom.json,,-0.45,2025-03-09 12:28:23.857,2024-09-05 04:47:13.885,35.89,100,J+ZRiIffUm,com.sec.android.app.shealth,8744f0c8-2f83-49bd-9aaf-766ab794e245,2024-09-05 00:00:00.000,,
15639677-e577-4416-9e21-01e6b911c1a0.custom.json,,-0.44,2025-03-09 12:28:23.878,2024-09-06 06:10:30.485,35.89,100,J+ZRiIffUm,com.sec.android.app.shealth,15639677-e577-4416-9e21-01e6b911c1a0,2024-09-06 00:00:00.000,,
0ee421dc-532d-4a6e-acdf-155e738491c1.custom.json,,-0.45,2025-03-09 12:28:23.903,2024-09-07 04:43:58.917,35.87,100,J+ZRiIffUm,com.sec.android.app.shealth,0ee421dc-532d-4a6e-acdf-155e738491c1,2024-09-07 00:00:00.000,,
e48ccfa3-6e1c-4a62-b2cb-2df88112bdcb.custom.json,,-0.07,2025-03-09 12:28:23.925,2024-09-08 06:26:13.103,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,e48ccfa3-6e1c-4a62-b2cb-2df88112bdcb,2024-09-08 00:00:00.000,,
94210d8c-2707-4d4e-8753-b5db68d186e3.custom.json,,-0.15,2025-03-09 12:28:23.964,2024-09-09 05:16:42.619,36.16,100,J+ZRiIffUm,com.sec.android.app.shealth,94210d8c-2707-4d4e-8753-b5db68d186e3,2024-09-09 00:00:00.000,,
825aaf0a-bd6e-4582-bf8e-2bd98dad47e9.custom.json,,0.03,2025-03-09 12:28:23.985,2024-09-10 07:04:26.986,36.34,100,J+ZRiIffUm,com.sec.android.app.shealth,825aaf0a-bd6e-4582-bf8e-2bd98dad47e9,2024-09-10 00:00:00.000,,
238fe503-685a-4bae-8b56-8ea89cf800ce.custom.json,,-0.15,2025-03-09 12:28:24.009,2024-09-11 06:10:57.917,36.16,100,J+ZRiIffUm,com.sec.android.app.shealth,238fe503-685a-4bae-8b56-8ea89cf800ce,2024-09-11 00:00:00.000,,
65fdf3d5-bc41-46ca-aec8-96be68dc48b3.custom.json,,-0.17,2025-03-09 12:28:24.044,2024-09-12 06:14:13.029,36.13,100,J+ZRiIffUm,com.sec.android.app.shealth,65fdf3d5-bc41-46ca-aec8-96be68dc48b3,2024-09-12 00:00:00.000,,
f232d78b-da42-4fa7-8df9-99583f2544b2.custom.json,,-0.41,2025-03-09 12:28:24.066,2024-09-13 06:30:36.955,35.89,100,J+ZRiIffUm,com.sec.android.app.shealth,f232d78b-da42-4fa7-8df9-99583f2544b2,2024-09-13 00:00:00.000,,
4449817d-39fa-4aaf-a447-dba1ba019503.custom.json,,-0.47,2025-03-09 12:28:24.096,2024-09-14 05:48:41.628,35.82,100,J+ZRiIffUm,com.sec.android.app.shealth,4449817d-39fa-4aaf-a447-dba1ba019503,2024-09-14 00:00:00.000,,
0cd83e49-7804-497f-9733-be4ef937ac3e.custom.json,,-0.46,2025-03-09 12:28:24.123,2024-09-15 08:14:17.876,35.82,100,J+ZRiIffUm,com.sec.android.app.shealth,0cd83e49-7804-497f-9733-be4ef937ac3e,2024-09-15 00:00:00.000,,
1bb0d116-798d-4ee2-adc5-08db2d534038.custom.json,,-0.16,2025-03-09 12:28:24.150,2024-09-16 08:38:56.586,36.12,100,J+ZRiIffUm,com.sec.android.app.shealth,1bb0d116-798d-4ee2-adc5-08db2d534038,2024-09-16 00:00:00.000,,
4d19de1f-e136-437c-b3fe-81f454cb3aff.custom.json,,-0.06,2025-03-09 12:28:24.186,2024-09-17 05:57:05.052,36.21,100,J+ZRiIffUm,com.sec.android.app.shealth,4d19de1f-e136-437c-b3fe-81f454cb3aff,2024-09-17 00:00:00.000,,
de208837-43b9-4286-8d9e-a30a0e2d089a.custom.json,,0.07,2025-03-09 12:28:24.210,2024-09-18 05:51:32.161,36.34,100,J+ZRiIffUm,com.sec.android.app.shealth,de208837-43b9-4286-8d9e-a30a0e2d089a,2024-09-18 00:00:00.000,,
